circID	chr	start	end	geneID	strand
7__100023418__100024307__ENSG00000106261	7	100023418	100024307	ENSG00000106261	+
15__75859877__75873568__ENSG00000140367	15	75859877	75873568	ENSG00000140367	+
4__77773080__77776392__ENSG00000138767	4	77773080	77776392	ENSG00000138767	-
4__39913610__39925933__ENSG00000121892	4	39913610	39925933	ENSG00000121892	-
11__108301647__108304852__ENSG00000149311	11	108301647	108304852	ENSG00000149311	+
3__47097954__47106120__ENSG00000181555	3	47097954	47106120	ENSG00000181555	-
12__46229152__46254936__ENSG00000111371	12	46229152	46254936	ENSG00000111371	-
5__65567512__65572286__ENSG00000113593	5	65567512	65572286	ENSG00000113593	+
6__13579450__13584225__ENSG00000124523	6	13579450	13584225	ENSG00000124523	+
5__34179012__34182867__ENSG00000215158	5	34179012	34182867	ENSG00000215158	-
5__65988634__65994864__ENSG00000112851	5	65988634	65994864	ENSG00000112851	+
6__4891712__4892379__ENSG00000153046	6	4891712	4892379	ENSG00000153046	+
11__77683709__77693611__ENSG00000048649	11	77683709	77693611	ENSG00000048649	-
3__170145422__170149244__ENSG00000173889	3	170145422	170149244	ENSG00000173889	-
9__121161855__121166180__ENSG00000119397	9	121161855	121166180	ENSG00000119397	+
15__63532646__63537156__ENSG00000140455	15	63532646	63537156	ENSG00000140455	+
10__15833629__15847943__ENSG00000148481	10	15833629	15847943	ENSG00000148481	-
1__117402185__117442325__ENSG00000198162	1	117402185	117442325	ENSG00000198162	+
9__96458378__96458541__ENSG00000130956	9	96458378	96458541	ENSG00000130956	+
12__69800208__69801721__ENSG00000127328	12	69800208	69801721	ENSG00000127328	+
1__29154695__29154910__ENSG00000116350	1	29154695	29154910	ENSG00000116350	-
19__52282110__52283413__ENSG00000196214	19	52282110	52283413	ENSG00000196214	+
11__77624962__77625818__ENSG00000074201	11	77624962	77625818	ENSG00000074201	-
2__230357804__230361697__ENSG00000185404	2	230357804	230361697	ENSG00000185404	+
14__50150007__50150230__ENSG00000100485	14	50150007	50150230	ENSG00000100485	-
16__27213584__27215008__ENSG00000155666	16	27213584	27215008	ENSG00000155666	+
7__64543706__64544432__ENSG00000173041	7	64543706	64544432	ENSG00000173041	-
5__109713519__109716264__ENSG00000112893	5	109713519	109716264	ENSG00000112893	+
1__20770929__20773610__ENSG00000127483	1	20770929	20773610	ENSG00000127483	-
8__102360070__102361626__ENSG00000104517	8	102360070	102361626	ENSG00000104517	-
1__155675009__155679512__ENSG00000163374	1	155675009	155679512	ENSG00000163374	-
3__33684358__33696933__ENSG00000163539	3	33684358	33696933	ENSG00000163539	-
14__32090501__32094386__ENSG00000100852	14	32090501	32094386	ENSG00000100852	+
X__118542724__118546116__ENSG00000147251	X	118542724	118546116	ENSG00000147251	+
9__93471140__93498886__ENSG00000048828	9	93471140	93498886	ENSG00000048828	+
5__154033790__154034967__ENSG00000055147	5	154033790	154034967	ENSG00000055147	-
1__58506059__58536741__ENSG00000162600	1	58506059	58536741	ENSG00000162600	-
9__85669484__85712566__ENSG00000135049	9	85669484	85712566	ENSG00000135049	-
20__36911217__36912552__ENSG00000101347	20	36911217	36912552	ENSG00000101347	-
7__155665174__155680908__ENSG00000184863	7	155665174	155680908	ENSG00000184863	+
15__65178933__65180204__ENSG00000166855	15	65178933	65180204	ENSG00000166855	-
1__154172907__154173201__ENSG00000143549	1	154172907	154173201	ENSG00000143549	-
6__13632369__13644729__ENSG00000010017	6	13632369	13644729	ENSG00000010017	-
8__668597__674047__ENSG00000104714	8	668597	674047	ENSG00000104714	-
12__100282942__100298175__ENSG00000136021	12	100282942	100298175	ENSG00000136021	+
6__145888019__145894977__ENSG00000146414	6	145888019	145894977	ENSG00000146414	-
18__58696365__58700591__ENSG00000172175	18	58696365	58700591	ENSG00000172175	+
9__135881632__135883078__ENSG00000130559	9	135881632	135883078	ENSG00000130559	-
10__68959805__68960249__ENSG00000165732	10	68959805	68960249	ENSG00000165732	+
19__8455404__8463686__ENSG00000099783	19	8455404	8463686	ENSG00000099783	+
17__49311311__49312042__ENSG00000198740	17	49311311	49312042	ENSG00000198740	-
9__93471140__93476338__ENSG00000048828	9	93471140	93476338	ENSG00000048828	+
1__26942659__26943065__ENSG00000090273	1	26942659	26943065	ENSG00000090273	+
18__76849525__76851939__ENSG00000130856	18	76849525	76851939	ENSG00000130856	+
2__37316236__37317179__ENSG00000115825	2	37316236	37317179	ENSG00000115825	-
5__56864733__56865977__ENSG00000095015	5	56864733	56865977	ENSG00000095015	+
16__11846500__11847806__ENSG00000171490	16	11846500	11847806	ENSG00000171490	-
10__101667885__101676436__ENSG00000107829	10	101667885	101676436	ENSG00000107829	-
21__36247516__36248568__ENSG00000142197	21	36247516	36248568	ENSG00000142197	+
3__31576395__31580096__ENSG00000163527	3	31576395	31580096	ENSG00000163527	+
12__123586746__123590449__ENSG00000086598	12	123586746	123590449	ENSG00000086598	+
9__85618982__85633374__ENSG00000135049	9	85618982	85633374	ENSG00000135049	-
10__110124016__110132400__ENSG00000148700	10	110124016	110132400	ENSG00000148700	+
6__147205970__147239270__ENSG00000164506	6	147205970	147239270	ENSG00000164506	+
7__66993216__66994341__ENSG00000126524	7	66993216	66994341	ENSG00000126524	-
1__172551511__172557794__ENSG00000094975	1	172551511	172557794	ENSG00000094975	+
18__32111753__32113860__ENSG00000134758	18	32111753	32113860	ENSG00000134758	+
14__102194937__102197847__ENSG00000140153	14	102194937	102197847	ENSG00000140153	+
3__43299753__43303792__ENSG00000163788	3	43299753	43303792	ENSG00000163788	+
17__61984170__61985090__ENSG00000108510	17	61984170	61985090	ENSG00000108510	-
15__44331987__44338317__ENSG00000166734	15	44331987	44338317	ENSG00000166734	+
5__94643272__94654752__ENSG00000133302	5	94643272	94654752	ENSG00000133302	+
14__102040235__102040673__ENSG00000197102	14	102040235	102040673	ENSG00000197102	+
14__22906194__22911403__ENSG00000100461	14	22906194	22911403	ENSG00000100461	-
7__102757853__102761411__ENSG00000222011	7	102757853	102761411	ENSG00000222011	+
22__32478980__32479275__ENSG00000100225	22	32478980	32479275	ENSG00000100225	+
19__39453355__39453521__ENSG00000196235	19	39453355	39453521	ENSG00000196235	+
8__61680967__61684188__ENSG00000198363	8	61680967	61684188	ENSG00000198363	-
14__21230318__21234229__ENSG00000092199	14	21230318	21234229	ENSG00000092199	-
12__51299202__51299714__ENSG00000110934	12	51299202	51299714	ENSG00000110934	-
9__104750955__104759171__ENSG00000136783	9	104750955	104759171	ENSG00000136783	+
13__50927406__50949505__ENSG00000136104	13	50927406	50949505	ENSG00000136104	+
2__238182064__238185287__ENSG00000132323	2	238182064	238185287	ENSG00000132323	-
7__72890626__72891110__ENSG00000196313	7	72890626	72891110	ENSG00000196313	+
1__70292387__70315566__ENSG00000118454	1	70292387	70315566	ENSG00000118454	-
10__7276891__7285954__ENSG00000198879	10	7276891	7285954	ENSG00000198879	-
22__50372019__50394135__ENSG00000100239	22	50372019	50394135	ENSG00000100239	+
10__48401611__48410168__ENSG00000107643	10	48401611	48410168	ENSG00000107643	+
19__47264602__47264946__ENSG00000105321	19	47264602	47264946	ENSG00000105321	+
2__72718102__72733118__ENSG00000144036	2	72718102	72733118	ENSG00000144036	-
3__101671129__101672213__ENSG00000066422	3	101671129	101672213	ENSG00000066422	-
1__113829591__113834439__ENSG00000134242	1	113829591	113834439	ENSG00000134242	-
2__226864603__226867318__ENSG00000144468	2	226864603	226867318	ENSG00000144468	+
4__73090666__73092300__ENSG00000132466	4	73090666	73092300	ENSG00000132466	-
3__134188836__134195182__ENSG00000163785	3	134188836	134195182	ENSG00000163785	-
12__28305648__28391411__ENSG00000123106	12	28305648	28391411	ENSG00000123106	+
10__31908171__31910563__ENSG00000165322	10	31908171	31910563	ENSG00000165322	-
8__18011236__18011827__ENSG00000078674	8	18011236	18011827	ENSG00000078674	+
19__21405128__21405856__ENSG00000196268	19	21405128	21405856	ENSG00000196268	+
4__102714437__102726683__ENSG00000109323	4	102714437	102726683	ENSG00000109323	-
2__135631717__135639122__ENSG00000048991	2	135631717	135639122	ENSG00000048991	+
3__67495797__67498295__ENSG00000172340	3	67495797	67498295	ENSG00000172340	-
6__116689319__116705160__ENSG00000196911	6	116689319	116705160	ENSG00000196911	+
5__103096540__103097781__ENSG00000145723	5	103096540	103097781	ENSG00000145723	-
1__36361220__36362656__ENSG00000196182	1	36361220	36362656	ENSG00000196182	-
17__59353214__59353526__ENSG00000175155	17	59353214	59353526	ENSG00000175155	+
9__83682950__83686155__ENSG00000135018	9	83682950	83686155	ENSG00000135018	-
22__45178237__45178900__ENSG00000093000	22	45178237	45178900	ENSG00000093000	+
5__131677702__131709272__ENSG00000217128	5	131677702	131709272	ENSG00000217128	-
3__171188701__171194635__ENSG00000154310	3	171188701	171194635	ENSG00000154310	-
10__119515508__119527424__ENSG00000148908	10	119515508	119527424	ENSG00000148908	-
4__53414614__53428183__ENSG00000145216	4	53414614	53428183	ENSG00000145216	+
2__106145189__106166083__ENSG00000115652	2	106145189	106166083	ENSG00000115652	-
9__6880011__6893232__ENSG00000107077	9	6880011	6893232	ENSG00000107077	+
4__76144148__76144473__ENSG00000138750	4	76144148	76144473	ENSG00000138750	-
11__83273646__83278829__ENSG00000137500	11	83273646	83278829	ENSG00000137500	-
14__91342379__91343657__ENSG00000015133	14	91342379	91343657	ENSG00000015133	-
15__58912562__58913696__ENSG00000137776	15	58912562	58913696	ENSG00000137776	-
14__91797784__91802421__ENSG00000165929	14	91797784	91802421	ENSG00000165929	-
8__38114191__38119363__ENSG00000129691	8	38114191	38119363	ENSG00000129691	+
9__37126311__37147445__ENSG00000147905	9	37126311	37147445	ENSG00000147905	+
12__122511108__122515227__ENSG00000111011	12	122511108	122515227	ENSG00000111011	-
1__112653597__112659779__ENSG00000116489	1	112653597	112659779	ENSG00000116489	+
6__13639562__13644729__ENSG00000010017	6	13639562	13644729	ENSG00000010017	-
4__38089931__38103157__ENSG00000065882	4	38089931	38103157	ENSG00000065882	+
9__121161855__121162271__ENSG00000119397	9	121161855	121162271	ENSG00000119397	+
7__130120748__130122202__ENSG00000128607	7	130120748	130122202	ENSG00000128607	+
6__144537581__144539443__ENSG00000152818	6	144537581	144539443	ENSG00000152818	+
20__41533049__41551360__ENSG00000124177	20	41533049	41551360	ENSG00000124177	-
12__56666203__56670364__ENSG00000110958	12	56666203	56670364	ENSG00000110958	-
4__36228581__36229645__ENSG00000047365	4	36228581	36229645	ENSG00000047365	-
1__66891153__66905375__ENSG00000152763	1	66891153	66905375	ENSG00000152763	-
9__83678440__83686155__ENSG00000135018	9	83678440	83686155	ENSG00000135018	-
6__90206568__90271941__ENSG00000112182	6	90206568	90271941	ENSG00000112182	-
1__9931890__9934860__ENSG00000162441	1	9931890	9934860	ENSG00000162441	-
1__103565434__103575540__ENSG00000240038	1	103565434	103575540	ENSG00000240038	+
4__102304316__102315830__ENSG00000138821	4	102304316	102315830	ENSG00000138821	-
13__26400452__26401624__ENSG00000132964	13	26400452	26401624	ENSG00000132964	+
5__72861807__72865729__ENSG00000083312	5	72861807	72865729	ENSG00000083312	+
8__67251298__67259926__ENSG00000066777	8	67251298	67259926	ENSG00000066777	-
4__48369848__48383784__ENSG00000109171	4	48369848	48383784	ENSG00000109171	+
5__66053405__66054951__ENSG00000112851	5	66053405	66054951	ENSG00000112851	+
3__169976945__169988359__ENSG00000008952	3	169976945	169988359	ENSG00000008952	+
16__1809237__1809833__ENSG00000063854	16	1809237	1809833	ENSG00000063854	-
12__42210354__42210680__ENSG00000015153	12	42210354	42210680	ENSG00000015153	-
X__65075473__65075912__ENSG00000102053	X	65075473	65075912	ENSG00000102053	+
7__158869854__158876691__ENSG00000126870	7	158869854	158876691	ENSG00000126870	+
19__18539370__18539720__ENSG00000105701	19	18539370	18539720	ENSG00000105701	-
10__45939360__45962994__ENSG00000239883	10	45939360	45962994	ENSG00000239883	-
7__24623665__24650712__ENSG00000105926	7	24623665	24650712	ENSG00000105926	+
17__78004169__78031842__ENSG00000078687	17	78004169	78031842	ENSG00000078687	+
X__101041316__101042312__ENSG00000188917	X	101041316	101042312	ENSG00000188917	-
5__109713519__109729513__ENSG00000112893	5	109713519	109729513	ENSG00000112893	+
19__12928341__12928847__ENSG00000179115	19	12928341	12928847	ENSG00000179115	-
17__67891843__67894165__ENSG00000171634	17	67891843	67894165	ENSG00000171634	+
17__59731420__59738947__ENSG00000062716	17	59731420	59738947	ENSG00000062716	+
17__29684562__29703062__ENSG00000141298	17	29684562	29703062	ENSG00000141298	-
3__141260122__141287453__ENSG00000155893	3	141260122	141287453	ENSG00000155893	+
1__15638306__15643650__ENSG00000197312	1	15638306	15643650	ENSG00000197312	+
11__108329020__108332037__ENSG00000149311	11	108329020	108332037	ENSG00000149311	+
2__48328560__48346751__ENSG00000170802	2	48328560	48346751	ENSG00000170802	+
1__20757165__20773610__ENSG00000127483	1	20757165	20773610	ENSG00000127483	-
7__24623665__24668660__ENSG00000105926	7	24623665	24668660	ENSG00000105926	+
13__60439687__60467379__ENSG00000083544	13	60439687	60467379	ENSG00000083544	+
5__134741062__134744052__ENSG00000164615	5	134741062	134744052	ENSG00000164615	+
2__97198462__97202393__ENSG00000135976	2	97198462	97202393	ENSG00000135976	+
X__77652113__77656653__ENSG00000085224	X	77652113	77656653	ENSG00000085224	-
2__54050957__54057360__ENSG00000170634	2	54050957	54057360	ENSG00000170634	+
8__27294079__27294310__ENSG00000104228	8	27294079	27294310	ENSG00000104228	-
6__75702644__75703072__ENSG00000112701	6	75702644	75703072	ENSG00000112701	+
2__63856305__63857936__ENSG00000169764	2	63856305	63857936	ENSG00000169764	+
1__92333390__92380873__ENSG00000122484	1	92333390	92380873	ENSG00000122484	+
7__27785162__27785489__ENSG00000106052	7	27785162	27785489	ENSG00000106052	+
3__107710451__107716849__ENSG00000114439	3	107710451	107716849	ENSG00000114439	+
1__185214506__185231708__ENSG00000116668	1	185214506	185231708	ENSG00000116668	+
1__45640209__45642499__ENSG00000159592	1	45640209	45642499	ENSG00000159592	-
19__40583397__40583717__ENSG00000160410	19	40583397	40583717	ENSG00000160410	+
14__49825866__49831361__ENSG00000165525	14	49825866	49831361	ENSG00000165525	-
20__21365420__21368590__ENSG00000088930	20	21365420	21368590	ENSG00000088930	+
11__73707419__73718718__ENSG00000175582	11	73707419	73718718	ENSG00000175582	-
1__110891391__110892533__ENSG00000143119	1	110891391	110892533	ENSG00000143119	+
6__36524340__36540207__ENSG00000112079	6	36524340	36540207	ENSG00000112079	-
3__47097954__47103423__ENSG00000181555	3	47097954	47103423	ENSG00000181555	-
13__49451552__49451909__ENSG00000136169	13	49451552	49451909	ENSG00000136169	+
1__151166933__151167414__ENSG00000163156	1	151166933	151167414	ENSG00000163156	+
1__243613670__243843282__ENSG00000117020	1	243613670	243843282	ENSG00000117020	-
12__28255580__28259442__ENSG00000123106	12	28255580	28259442	ENSG00000123106	+
5__132892163__132893118__ENSG00000072364	5	132892163	132893118	ENSG00000072364	-
5__32135571__32143880__ENSG00000113384	5	32135571	32143880	ENSG00000113384	-
2__121757239__121761524__ENSG00000211460	2	121757239	121761524	ENSG00000211460	+
3__8935870__8941804__ENSG00000070950	3	8935870	8941804	ENSG00000070950	-
7__103321931__103322794__ENSG00000105821	7	103321931	103322794	ENSG00000105821	-
11__77619605__77629899__ENSG00000074201	11	77619605	77629899	ENSG00000074201	-
10__110964124__110985765__ENSG00000108061	10	110964124	110985765	ENSG00000108061	+
4__73085248__73092300__ENSG00000132466	4	73085248	73092300	ENSG00000132466	-
10__5794884__5800705__ENSG00000057608	10	5794884	5800705	ENSG00000057608	-
7__27629370__27632445__ENSG00000106049	7	27629370	27632445	ENSG00000106049	-
12__69589484__69592159__ENSG00000166226	12	69589484	69592159	ENSG00000166226	+
12__116236820__116237705__ENSG00000123066	12	116236820	116237705	ENSG00000123066	-
11__34957383__34978182__ENSG00000110435	11	34957383	34978182	ENSG00000110435	+
1__31915894__31919658__ENSG00000184007	1	31915894	31919658	ENSG00000184007	-
1__52477707__52481923__ENSG00000134744	1	52477707	52481923	ENSG00000134744	-
1__154234590__154235291__ENSG00000143569	1	154234590	154235291	ENSG00000143569	+
17__51263273__51268904__ENSG00000011260	17	51263273	51268904	ENSG00000011260	+
3__16301625__16303592__ENSG00000154814	3	16301625	16303592	ENSG00000154814	+
3__152414940__152432920__ENSG00000152601	3	152414940	152432920	ENSG00000152601	+
2__230442936__230450255__ENSG00000067066	2	230442936	230450255	ENSG00000067066	+
X__80791853__80793772__ENSG00000165288	X	80791853	80793772	ENSG00000165288	-
15__30474355__30484686__ENSG00000215302	15	30474355	30484686	ENSG00000215302	+
19__5604582__5604936__ENSG00000130254	19	5604582	5604936	ENSG00000130254	-
16__53442657__53447106__ENSG00000103479	16	53442657	53447106	ENSG00000103479	+
17__19958013__19958571__ENSG00000108599	17	19958013	19958571	ENSG00000108599	-
X__135545422__135556300__ENSG00000165359	X	135545422	135556300	ENSG00000165359	+
16__30496096__30496566__ENSG00000005844	16	30496096	30496566	ENSG00000005844	+
20__35714184__35725155__ENSG00000131051	20	35714184	35725155	ENSG00000131051	-
1__155438326__155439068__ENSG00000116539	1	155438326	155439068	ENSG00000116539	-
19__19492305__19492712__ENSG00000167491	19	19492305	19492712	ENSG00000167491	+
3__197814907__197820430__ENSG00000186001	3	197814907	197820430	ENSG00000186001	+
11__107390073__107392895__ENSG00000152404	11	107390073	107392895	ENSG00000152404	-
12__46239678__46254936__ENSG00000111371	12	46239678	46254936	ENSG00000111371	-
5__50402285__50411383__ENSG00000170571	5	50402285	50411383	ENSG00000170571	-
11__59658865__59659469__ENSG00000166889	11	59658865	59659469	ENSG00000166889	-
1__66958058__66963160__ENSG00000198160	1	66958058	66963160	ENSG00000198160	+
2__190900563__190924593__ENSG00000115419	2	190900563	190924593	ENSG00000115419	+
8__141253988__141254629__ENSG00000022567	8	141253988	141254629	ENSG00000022567	-
13__42953947__42970670__ENSG00000133106	13	42953947	42970670	ENSG00000133106	-
15__38502311__38505920__ENSG00000172575	15	38502311	38505920	ENSG00000172575	-
9__5968018__5988545__ENSG00000183354	9	5968018	5988545	ENSG00000183354	-
13__28174271__28177935__ENSG00000152520	13	28174271	28177935	ENSG00000152520	+
2__147972738__147982081__ENSG00000115947	2	147972738	147982081	ENSG00000115947	-
4__102580534__102582957__ENSG00000109320	4	102580534	102582957	ENSG00000109320	+
12__120154969__120155719__ENSG00000089154	12	120154969	120155719	ENSG00000089154	-
19__29971192__29986417__ENSG00000105176	19	29971192	29986417	ENSG00000105176	+
17__32030655__32031458__ENSG00000185158	17	32030655	32031458	ENSG00000185158	+
8__47396375__47407961__ENSG00000164808	8	47396375	47407961	ENSG00000164808	+
1__52493610__52509712__ENSG00000134744	1	52493610	52509712	ENSG00000134744	-
2__99462495__99464985__ENSG00000135945	2	99462495	99464985	ENSG00000135945	-
3__52737585__52741499__ENSG00000114904	3	52737585	52741499	ENSG00000114904	-
7__140355667__140358785__ENSG00000157800	7	140355667	140358785	ENSG00000157800	-
